Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2017-2018,Corporations and Markets Advisory Committee,FALSE,,Treasury,TRUE,1/08/2018 9:34,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Cotton Research and Development Corporation,TRUE,,Agriculture and Water Resources,FALSE,10/07/2018 11:15,FALSE,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Families of Australia,TRUE,Department of Defence,Defence,TRUE,3/07/2018 13:10,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Force Discipline Appeal Tribunal,TRUE,,Attorney-General's,FALSE,9/07/2018 10:44,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Force Remuneration Tribunal,TRUE,Remuneration Tribunal,Prime Minister and Cabinet,TRUE,2/01/2018 12:50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Housing Australia,TRUE,,Defence,FALSE,18/07/2018 11:15,FALSE,0,3,1015,5,0,0,0,0,0,1,50,0,0,0,100,0,0,0,0,0,6990,0,0,0
2017-2018,Defence Reserves Support Council,TRUE,Department of Defence,Defence,TRUE,3/07/2018 13:12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Department of Agriculture and Water Resources,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,FALSE,11/07/2018 10:54,FALSE,3,0,5130,758,589,1327,0,0,0,0,270,0,0,0,122,0,0,0,0,0,0,0,0,0
2017-2018,Department of Communications and the Arts,TRUE,Department of Communications and the Arts,Communications and the Arts,FALSE,25/07/2018 14:43,FALSE,1,37,1710,406,307,713,0,38,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Department of Defence,TRUE,Department of Defence,Defence,FALSE,10/07/2018 10:20,FALSE,20,126,38945,6900,22425,2925,20,0,0,0,0,0,0,0,18500,0,83447,0,0,0,113766,0,0,0
2017-2018,Department of Education and Training,TRUE,Department of Education and Training,Education and Training,FALSE,17/07/2018 10:18,FALSE,8,6,19540,358,1116,0,0,0,0,1,26,0,0,0,2588,0,0,0,0,0,2760,0,0,0
