Report year,Agency Name,Is agency active,Administrating Agency Name,Portfolio,nil_return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUD
2019,Australian Institute of Criminology,TRUE,,Home Affairs,FALSE,29/07/2019 16:37,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Institute of Family Studies,TRUE,,Social Services,FALSE,30/07/2019 15:03,0,0,0,20,3,0,0,0,0,0,0,2,0,0,0,0,0,3000,0,0,0,0,0,0,0
2019,Australian Institute of Health and Welfare,TRUE,,Health,FALSE,30/07/2019 13:29,0,0,7,79,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,0
2019,Australian Institute of Marine Science,TRUE,,"Industry, Innovation and Science",TRUE,31/07/2019 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Law Reform Commission,TRUE,,Attorney-General's,FALSE,10/07/2019 11:48,0,0,3,0,10,0,100,0,0,0,0,0,0,0,0,0,0,6500,0,0,0,0,0,0,0
2019,Australian Maritime Safety Authority,TRUE,,"Infrastructure, Transport, Cities and Regional Development",FALSE,19/07/2019 23:11,0,1,1,900,20,10,50,0,0,1,1,5,0,0,0,950,0,0,0,0,0,0,0,0,0
2019,Australian Military Forces Relief Trust Fund,TRUE,Department of Defence,Defence,TRUE,9/07/2019 14:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian National Maritime Museum,TRUE,,Attorney-General's,FALSE,26/04/2019 10:00,0,0,0,20,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian National University,TRUE,,Education,FALSE,12/10/2018 15:10,0,0,5,376,16,263,70,0,0,0,1,10,0,0,0,100,0,27000,0,5000,0,342,0,0,0
2019,Australian Nuclear Science and Technology Organisation,TRUE,,"Industry, Innovation and Science",FALSE,15/07/2019 12:14,0,0,9,166,0,0,0,0,0,0,6,2,0,0,0,0,0,4795,0,0,0,1300,0,0,0
2019,Australian Pesticides and Veterinary Medicines Authority,TRUE,,Agriculture,FALSE,2/07/2019 13:23,0,0,32,900,69,150,40,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Political Exchange Council,FALSE,Department of Finance,Finance,TRUE,17/07/2019 10:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Postal Corporation,TRUE,,Communications and the Arts,FALSE,1/07/2019 13:27,0,1,1,1300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
